** Analysing toSortedArray() speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,2
small-town.txt,44892,1000,4
town.txt,451617,10000,33
large-town.txt,2255053,50000,163
city.txt,4511688,100000,379
large-city.txt,22554540,500000,2005
metropolis.txt,45107513,1000000,5421
capital.txt,90209834,2000000,12408
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,1
town.txt,451617,10000,19
large-town.txt,2255053,50000,177
city.txt,4511688,100000,300
large-city.txt,22554540,500000,2320
metropolis.txt,45107513,1000000,4932
capital.txt,90209834,2000000,11474
